Name,Coordinate,
榮記五金,"22.4461044,114.0254756",
錦發五金家品,"22.450253,114.0208261",
祐昌五金,"22.4464538,114.0205342",
興隆五金,"22.446219,114.0218951",
錦發五金家品,"22.450252,114.0049468",
強記五金,"22.4459218,114.0261481",
廣源五金電器,"22.4462424,114.0117973",
兄弟五金專門店元朗旗艦店,"22.445975,114.0257671",
恆基五金,"22.445996,114.0243601",
天成五金,"22.4441803,114.0309644",
財記五金農具,"22.445494,114.0272141",
恒豐五金,"22.4426749,114.0227352",
華錫家居五金,"22.4410605,114.0275761",
友聯五金工具有限公司,"22.4458169,114.0269841",
新城不銹鋼五金有限公司,"22.4512561,114.0262803",
俊興五金建材,"22.441525,114.0277401",
